"SMOKING","GEO","TIME","DEG_URB","SEX","AGE","UNIT","Value","Flag and Footnotes"
"Occasional smoker","Luxembourg","2014","Total","Total","Total","Percentage","5.8",""
"Occasional smoker","Hungary","2014","Total","Total","Total","Percentage","1.7",""
"Occasional smoker","Malta","2014","Total","Total","Total","Percentage","4.0",""
"Occasional smoker","Netherlands","2014","Total","Total","Total","Percentage","6.0",""
"Occasional smoker","Austria","2014","Total","Total","Total","Percentage","5.7",""
"Occasional smoker","Poland","2014","Total","Total","Total","Percentage","3.4",""
"Occasional smoker","Portugal","2014","Total","Total","Total","Percentage","3.2",""
"Occasional smoker","Romania","2014","Total","Total","Total","Percentage","5.8",""
"Occasional smoker","Slovenia","2014","Total","Total","Total","Percentage","5.4",""
"Occasional smoker","Slovakia","2014","Total","Total","Total","Percentage","6.7",""
"Occasional smoker","Finland","2014","Total","Total","Total","Percentage","6.7",""
"Occasional smoker","Sweden","2014","Total","Total","Total","Percentage","6.9",""
"Occasional smoker","United Kingdom","2014","Total","Total","Total","Percentage","3.0",""
"Occasional smoker","Iceland","2014","Total","Total","Total","Percentage","6.8",""
"Occasional smoker","Norway","2014","Total","Total","Total","Percentage","7.2",""
"Occasional smoker","Turkey","2014","Total","Total","Total","Percentage","5.2",""
