Max depth,Accuracy
1,0.7241333333333333
2,0.798
3,0.8008666666666666
4,0.8308666666666666
5,0.8481333333333333
6,0.8717333333333334
7,0.8827333333333334
8,0.8824666666666666
9,0.8811333333333333
10,0.8789333333333333
11,0.8746
12,0.8686666666666667
13,0.8634666666666667
14,0.8574
15,0.8492
