,precision,recall,f1-score,support
0,0.8925170068027211,0.8486416558861578,0.870026525198939,773.0
1,0.9473684210526315,0.8645320197044335,0.9040566645202832,812.0
2,0.93671875,0.89812734082397,0.9170172084130019,1335.0
3,0.0,0.0,0.0,642.0
4,0.2,0.0016260162601626016,0.0032258064516129032,615.0
5,0.8706487988233371,0.9844775016169269,0.924070942283509,10823.0
accuracy,0.8808666666666667,0.8808666666666667,0.8808666666666667,0.8808666666666667
macro avg,0.6412088294464483,0.5995674223819418,0.6030661911445577,15000.0
weighted avg,0.8170486856712145,0.8808666666666667,0.8422697445401844,15000.0
